site,tree_spp,dir,r,larvae,leaves,x,y
R4,WO,SW,15,4,95,-10.6066017177982,-10.6066017177982
R4,WO,SW,30,2,114,-21.2132034355964,-21.2132034355964
R4,WO,SW,35,3,106,-24.7487373415292,-24.7487373415292
R4,WO,SW,40,1,201,-28.2842712474619,-28.2842712474619
R4,WO,SE,10,20,145,7.07106781186548,-7.07106781186548
R4,WO,E,5,19,139,5,0
R4,WO,E,30,1,132,30,0
R4,WO,ENE,15,16,109,13.9,5.74
R4,BO,SSW,10,1,110,-3.8,-9.2
R4,BO,SSE,10,6,146,3.8,-9.2
R4,BO,SSE,15,8,98,5.7,-13.8
R4,BO,SSE,25,0,1,7.6,-18.4
R4,WO,SSE,15,5,180,5.7,-13.8
R4,WO,SSE,20,3,231,7.6,-18.4
R4,WO,SSE,25,5,272,9.5,-23
R4,BO,ESE,10,8,130,9.2,-3.8
R4,BO,ESE,15,7,100,13.8,-5.7
R4,BO,ESE,20,6,136,18.4,-7.6
R4,BO,ESE,25,0,1,23,-9.5
R4,WO,ESE,25,2,148,23,-9.5
R3,BO,Center,0,2,105,0,0
R3,BO,N,5,4,101,0,5
R3,BO,N,10,2,137,0,10
R3,BO,N,15,3,128,0,15
R3,BO,NW,5,2,137,-3.5,3.5
R3,BO,NW,10,2,169,-7.07,7.07
R3,BO,NE,5,3,134,3.53553390593274,3.53553390593274
R3,BO,NE,10,3,67,7.07106781186548,7.07106781186548
R3,BO,NE,15,7,123,10.6066017177982,10.6066017177982
R3,BO,NE,20,4,132,14.142135623731,14.142135623731
R3,BO,NE,25,4,91,17.6776695296637,17.6776695296637
R3,BO,W,5,3,206,-5,0
R3,BO,W,10,2,134,-10,0
R3,BO,W,15,2,143,-15,0
R3,BO,ESE,10,3,137,9.24,-3.83
R3,BO,ESE,15,5,128,13.9,-5.74
R3,BO,ESE,20,3,161,18.5,-7.65
R3,BO,ESE,25,0,1,23.1,-9.6
R3,BO,S,5,5,100,0,-5
R3,BO,S,10,1,100,0,-10
R3,BO,S,15,8,146,0,-15
R3,BO,S,20,3,101,0,-20
R3,BO,SW,5,4,64,-3.53553390593274,-3.53553390593274
R3,BO,SW,10,5,100,-7.07106781186548,-7.07106781186548
R3,BO,SW,15,3,132,-10.6066017177982,-10.6066017177982
R3,BO,SW,20,1,136,-14.142135623731,-14.142135623731
R3,BO,SE,10,17,109,7.07106781186548,-7.07106781186548
R3,BO,SE,15,7,141,10.6066017177982,-10.6066017177982
R3,BO,SE,20,1,111,14.142135623731,-14.142135623731
R3,BO,SE,25,1,135,17.6776695296637,-17.6776695296637
R3,BO,E,5,7,138,5,0
R3,BO,E,10,17,125,10,0
R3,BO,E,15,8,124,15,0
R3,BO,E,20,7,149,20,0
R3,BO,E,25,1,112,25,0
R3,BO,E,30,0,1,30,0
R3,BO,ENE,10,11,146,9.24,3.83
R3,BO,ENE,15,8,218,13.9,5.74
R3,BO,ENE,20,2,183,18.5,7.65
R3,BO,ENE,25,8,171,23.1,9.6
R3,BO,ENE,30,1,139,27.72,11.5
R3,BO,ENE,35,0,1,32.32,13.4
R3,BO,ENE,40,1,200,36.92,15.3
R3,BO,ENE,45,0,1,41.52,17.2
R3,WO,N,20,3,168,0,20
R3,WO,NW,5,6,160,-3.53553390593274,3.53553390593274
R3,WO,NE,10,13,132,7.07106781186548,7.07106781186548
R3,WO,NE,20,2,185,14.142135623731,14.142135623731
R3,WO,NE,30,1,117,21.2132034355964,21.2132034355964
R3,WO,W,15,2,114,-15,0
R3,WO,ESE,15,0,1,13.9,-5.74
R3,WO,S,20,4,154,0,-20
R3,WO,SW,10,12,113,-7.07106781186548,-7.07106781186548
R3,WO,SW,15,0,1,-10.6066017177982,-10.6066017177982
R3,WO,SE,5,15,183,3.53553390593274,-3.53553390593274
R3,WO,SE,25,0,1,17.6776695296637,-17.6776695296637
R3,WO,E,5,3,129,5,0
R3,WO,E,15,10,216,15,0
R3,WO,E,25,0,1,25,0
R3,WO,E,30,1,152,30,0
R3,WO,E,35,0,1,35,0
R3,WO,ENE,15,7,141,13.9,5.74
R3,WO,ENE,35,4,299,32.32,13.4
A5,BO,Cent,0,23,118,0,0
A5,BO,N,5,40,122,0,5
A5,BO,N,10,23,126,0,10
A5,BO,N,15,11,138,0,15
A5,BO,N,20,10,154,0,20
A5,BO,N,25,4,150,0,25
A5,BO,N,30,4,159,0,30
A5,BO,N,35,1,156,0,35
A5,BO,N,40,0,144,0,40
A5,BO,NW,5,9,150,-3.5,3.5
A5,BO,NW,10,8,204,-7.07,7.07
A5,BO,NW,15,2,150,-10.6,10.6
A5,BO,NW,20,0,1,-14.14,14.14
A5,BO,NE,5,30,150,3.53553390593274,3.53553390593274
A5,BO,NE,10,19,93,7.07106781186548,7.07106781186548
A5,BO,NE,15,10,141,10.6066017177982,10.6066017177982
A5,BO,NE,20,6,151,14.142135623731,14.142135623731
A5,BO,NE,25,0,1,17.6776695296637,17.6776695296637
A5,BO,NE,30,7,175,21.2132034355964,21.2132034355964
