r,theta,observations,leaves,release_no,year,release_in_year
40,0.392699081698724,7,116,6,1996,2
45,0.392699081698724,14,126,6,1996,2
45,0.392699081698724,9,100,6,1996,2
50,0.392699081698724,1,97,6,1996,2
55,0.392699081698724,0,123,6,1996,2
60,0.392699081698724,0,123,6,1996,2
15,1.17809724509617,7,116,6,1996,2
20,1.17809724509617,7,118,6,1996,2
25,1.17809724509617,2,117,6,1996,2
30,1.17809724509617,1,90,6,1996,2
35,1.17809724509617,5,108,6,1996,2
40,1.17809724509617,1,131,6,1996,2
45,1.17809724509617,0,122,6,1996,2
50,1.17809724509617,0,122,6,1996,2
0,0,1,136,6,1996,2
5,1.5707963267949,5,83,6,1996,2
10,1.5707963267949,1,119,6,1996,2
15,1.5707963267949,5,93,6,1996,2
20,1.5707963267949,5,79,6,1996,2
25,1.5707963267949,5,111,6,1996,2
30,1.5707963267949,5,109,6,1996,2
35,1.5707963267949,1,96,6,1996,2
40,1.5707963267949,1,90,6,1996,2
45,1.5707963267949,0,116,6,1996,2
50,1.5707963267949,0,116,6,1996,2
5,0.785398163397448,2,110,6,1996,2
10,0.785398163397448,2,122,6,1996,2
15,0.785398163397448,6,121,6,1996,2
20,0.785398163397448,2,90,6,1996,2
25,0.785398163397448,9,116,6,1996,2
30,0.785398163397448,12,98,6,1996,2
35,0.785398163397448,9,118,6,1996,2
40,0.785398163397448,14,94,6,1996,2
45,0.785398163397448,2,101,6,1996,2
50,0.785398163397448,1,137,6,1996,2
55,0.785398163397448,3,104,6,1996,2
60,0.785398163397448,3,95,6,1996,2
65,0.785398163397448,1,82,6,1996,2
75,0.785398163397448,0,79,6,1996,2
80,0.785398163397448,0,79,6,1996,2
5,0,2,123,6,1996,2
5,0,1,95,6,1996,2
10,0,2,114,6,1996,2
15,0,3,176,6,1996,2
20,0,4,71,6,1996,2
25,0,5,124,6,1996,2
30,0,3,98,6,1996,2
35,0,4,128,6,1996,2
37,0,9,96,6,1996,2
40,0,5,109,6,1996,2
45,0,0,113,6,1996,2
50,0,0,113,6,1996,2
5,5.49778714378214,13,115,6,1996,2
10,5.49778714378214,1,117,6,1996,2
15,5.49778714378214,2,87,6,1996,2
20,5.49778714378214,5,97,6,1996,2
25,5.49778714378214,1,97,6,1996,2
30,5.49778714378214,4,99,6,1996,2
35,5.49778714378214,5,123,6,1996,2
40,5.49778714378214,3,90,6,1996,2
45,5.49778714378214,0,115,6,1996,2
50,5.49778714378214,0,115,6,1996,2
5,4.71238898038469,2,121,6,1996,2
10,4.71238898038469,1,96,6,1996,2
15,4.71238898038469,0,105,6,1996,2
20,4.71238898038469,0,105,6,1996,2
5,3.92699081698724,0,42,6,1996,2
10,3.92699081698724,0,134,6,1996,2
15,3.92699081698724,0,108,6,1996,2
20,3.92699081698724,0,93,6,1996,2
5,3.14159265358979,1,120,6,1996,2
10,3.14159265358979,0,82,6,1996,2
15,3.14159265358979,1,96,6,1996,2
20,3.14159265358979,0,133,6,1996,2
25,3.14159265358979,0,133,6,1996,2
5,2.35619449019234,2,101,6,1996,2
10,2.35619449019234,1,93,6,1996,2
15,2.35619449019234,1,102,6,1996,2
20,2.35619449019234,0,104,6,1996,2
25,2.35619449019234,0,104,6,1996,2
15,0.392699081698724,2,116,6,1996,2
20,0.392699081698724,4,94,6,1996,2
25,0.392699081698724,4,111,6,1996,2
30,0.392699081698724,1,104,6,1996,2
35,0.392699081698724,1,85,6,1996,2
45,0.392699081698724,2,143,6,1996,2
50,0.392699081698724,0,162,6,1996,2
55,0.392699081698724,0,162,6,1996,2
15,1.17809724509617,5,136,6,1996,2
20,1.17809724509617,6,104,6,1996,2
25,1.17809724509617,7,117,6,1996,2
30,1.17809724509617,7,96,6,1996,2
35,1.17809724509617,4,158,6,1996,2
40,1.17809724509617,4,116,6,1996,2
45,1.17809724509617,1,92,6,1996,2
50,1.17809724509617,1,154,6,1996,2
55,1.17809724509617,1,131,6,1996,2
65,1.17809724509617,1,158,6,1996,2
75,1.17809724509617,0,107,6,1996,2
80,1.17809724509617,0,107,6,1996,2
