day,hour,U,V,WS
135,2300,0.636,0.597,0.872298687
135,2330,1.451,0.991,1.757123217
136,0,1.445,0.813,1.658009047
136,30,1.583,0.967,1.854987331
136,100,1.279,0.625,1.423539954
136,130,1.077,0.805,1.3446018
136,200,1.261,0.658,1.422351926
136,230,0.939,0.331,0.995631458
136,300,0.921,0.428,1.015590961
136,330,1.625,1.139,1.984425862
136,400,0.226,-0.16,0.276904316
136,430,-0.314,0.159,0.351961646
136,500,-0.424,0.672,0.794581651
136,530,-0.506,0.16,0.530693885
136,600,0.117,0,0.117
136,630,3.703,0,3.703
136,700,3.298,0,3.298
136,730,1.194,0,1.194
136,800,-0.006,1.711,1.71101052
136,830,-0.212,0.013,0.212398211
136,1300,3.725,0.549,3.765239169
136,1330,3.184,0.528,3.227481991
136,1400,3.019,0.278,3.031772584
136,1430,1.557,0.114,1.561167832
136,1500,1.262,-0.193,1.276672628
136,1530,0.046,-0.778,0.779358711
136,1600,1.41,-0.101,1.413612748
136,1630,1.166,-0.338,1.214001647
136,1700,0.849,-0.346,0.916797142
136,1730,0.769,-0.082,0.773359554
136,1800,1.169,-0.114,1.174545444
136,1830,1.324,0.159,1.33351303
136,1900,1.333,0.002,1.3330015
136,1930,0.922,-0.191,0.941575807
136,2000,1.425,0.273,1.450914884
136,2030,1.83,0.384,1.86985454
136,2100,2.018,0.375,2.052546954
136,2130,1.16,0.06,1.161550688
136,2200,0.366,-0.459,0.587057919
136,2230,-0.182,-0.841,0.860467896
136,2300,-0.049,-0.893,0.894343335
136,2330,1.492,0.109,1.49597627
137,0,1.718,0.337,1.7507407
137,30,1.552,0.222,1.567797181
137,100,1.75,0.123,1.754317246
137,130,1.579,0.096,1.581915611
137,200,1.642,0.213,1.655757531
137,230,1.81,0.184,1.819328448
137,300,1.621,0.1,1.624081587
137,330,1.672,0.275,1.694464222
137,400,1.648,0.138,1.653767819
137,430,1.665,0.209,1.678066149
137,500,1.663,0.057,1.663976562
137,530,1.516,0.056,1.517033948
137,600,1.591,0.058,1.592056846
137,630,1.505,0.12,1.509776474
137,700,1.81,0.12,1.813973539
137,730,1.665,0.208,1.677941894
137,800,2.402,0.332,2.424835665
137,830,2.64,0.22,2.649150807
137,900,3.057,0.353,3.077313439
137,930,3.096,0.313,3.111781644
137,1000,3.009,0.334,3.027480305
137,1030,3.385,0.479,3.418722861
137,1100,3.935,0.576,3.976933618
137,1130,3.87,0.575,3.912483227
137,1200,4.276,0.75,4.341275849
137,1230,4.401,0.72,4.459506811
137,1300,3.792,0.759,3.867214114
137,1330,4.504,0.76,4.567670741
137,1400,4.16,0.559,4.197389784
137,1430,4.085,0.621,4.131932478
137,1500,3.968,0.605,4.013857123
137,1530,4.221,0.705,4.279470294
137,1600,4.002,0.7,4.062758176
137,1630,3.969,0.624,4.01775273
137,1700,3.597,0.614,3.649027953
137,1730,3.332,0.55,3.377088095
137,1800,2.429,0.438,2.468174427
137,1830,2.552,0.427,2.587476183
137,1900,2.745,0.448,2.781317853
137,1930,2.762,0.332,2.781882097
137,2000,2.57,0.451,2.609272121
137,2030,2.249,0.405,2.285175267
137,2100,2.211,0.413,2.249242095
137,2130,2.112,0.465,2.162583871
137,2200,1.754,0.334,1.785517292
137,2230,1.694,0.401,1.740815039
137,2300,1.157,0.314,1.198851534
137,2330,1.476,0.306,1.507385817
138,0,1.369,0.241,1.390051078
138,30,1.041,0.214,1.062768554
138,100,1.12,0.213,1.14007412
138,130,1.076,0.209,1.09610994
138,200,0.449,-0.058,0.452730604
138,230,-0.152,-0.574,0.593784473
138,300,-0.342,-0.673,0.754912578
138,330,-0.397,-0.636,0.74973662
138,400,-0.256,-0.503,0.564397909
138,430,-0.598,-0.663,0.892845451
138,500,-0.418,-0.486,0.64103042
138,530,-0.459,-0.614,0.766600939
138,600,-0.485,-0.692,0.845037869
138,630,-0.595,-0.784,0.984215932
138,700,-0.563,-0.638,0.850889535
138,730,-0.275,-0.354,0.448264431
138,800,-0.397,-0.136,0.419648663
138,830,-0.531,-0.438,0.688334948
138,900,0.09,0.369,0.379817061
138,930,-0.139,0.145,0.200863137
138,1000,-0.025,0.174,0.175786803
138,1030,0.41,0.613,0.737474745
138,1100,0.213,0.062,0.221840032
138,1130,0.241,0.017,0.241598841
138,1200,0.218,0.115,0.246473122
138,1230,1.133,0.228,1.1557132
138,1300,0.613,0.092,0.619865308
138,1330,1.641,0.164,1.649174642
138,1400,1.968,0.173,1.975589279
138,1430,2.076,0.342,2.103981939
138,1500,2.706,0.436,2.740899852
138,1530,2.89,0.609,2.953469316
138,1600,2.921,0.432,2.952772426
138,1630,2.984,0.297,2.998743904
138,1700,2.828,0.409,2.85742279
138,1730,3.097,0.415,3.124681424
138,1800,3.244,0.367,3.264693707
138,1830,2.738,0.489,2.781324325
138,1900,2.503,0.584,2.570226644
138,1930,2.857,0.52,2.903936811
138,2000,2.516,0.393,2.546508394
138,2030,2.186,0.348,2.213526598
138,2100,2.212,0.229,2.22382216
138,2130,1.879,0.221,1.891951902
138,2200,1.752,0.176,1.760817992
138,2230,1.734,0.277,1.755985478
138,2300,1.884,0.355,1.917154402
138,2330,1.608,0.396,1.656043478
139,0,1.77,0.276,1.791389405
139,30,1.265,0.338,1.309377333
139,100,0.815,0.248,0.851897294
139,130,0.765,0.22,0.796005653
139,200,0.684,0.426,0.805811392
139,230,0.949,0.427,1.040639227
139,300,0.947,0.413,1.033139874
139,330,1.366,0.516,1.460209574
139,400,1.873,0.887,2.072413569
139,430,1.968,1.197,2.303439385
139,500,2.203,1.189,2.50338371
139,530,1.962,1.189,2.294158887
139,600,2.193,1.474,2.642333249
139,730,1.16,0.971,1.512759399
139,800,1.16,0.742,1.377012709
139,830,1.295,0.705,1.474466005
139,900,1.142,0.562,1.272795349
139,930,1.099,0.998,1.484521809
139,1030,0.965,0.566,1.11874081
139,1100,1.318,0.762,1.522421755
139,1130,1.315,0.292,1.347029695
139,1200,0.104,-0.24,0.261564524
139,1230,-0.155,0.044,0.161124176
139,1300,-0.165,0.711,0.729894513
139,1330,3.464,3.896,5.213263086
139,1400,5.25,6.043,8.005020237
139,1430,0.35,1.006,1.065145999
139,1500,0.581,1.756,1.849620772
139,1530,0.795,1.932,2.089174239
139,1600,0.136,1.984,1.988655827
139,1630,0.389,0.639,0.74809224
